CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
639,Spain,Male,28,8,0.0,2,1,0,126561.07
572,Germany,Male,47,4,99353.42,1,1,0,196549.85
616,France,Female,31,8,0.0,1,0,1,76456.17
619,Germany,Female,52,8,124099.13,1,0,0,23904.52
850,France,Female,39,0,104386.53,1,1,0,105886.77
706,Spain,Male,42,9,0.0,2,1,1,28714.34
710,Germany,Female,46,10,120530.34,1,1,0,166586.99
670,Germany,Male,40,2,164948.98,3,0,0,177028.0
701,Spain,Female,35,9,0.0,2,0,0,170996.86
719,France,Male,32,9,146605.27,1,1,1,77119.45
751,France,Female,37,9,183613.66,2,0,0,49734.94
536,France,Female,35,8,0.0,1,1,0,171840.24
614,France,Male,51,3,0.0,2,1,1,5552.37
592,France,Male,37,4,212692.97,1,0,0,176395.02
526,Spain,Male,49,2,0.0,1,1,0,114539.67
602,France,Female,35,5,0.0,2,1,0,31050.02
696,France,Female,25,8,126442.59,1,1,0,121904.44
717,Spain,Female,49,1,110864.38,2,1,1,124532.9
512,France,Male,36,4,152169.12,2,0,0,38629.3
731,Spain,Male,70,3,0.0,2,1,1,141180.66
727,France,Male,61,0,128213.96,2,1,1,188729.08
637,France,Female,44,2,0.0,2,1,0,149665.65
726,France,Female,42,2,109471.79,1,0,1,175161.05
427,France,Male,33,8,0.0,1,1,1,13858.95
669,Spain,Male,29,9,0.0,1,1,1,93901.61
742,France,Female,28,2,191864.51,1,1,0,108457.99
684,Germany,Male,35,3,99967.76,1,1,1,176882.08
647,Germany,Female,35,3,166518.63,2,1,0,147930.46
565,Germany,Female,32,9,68067.24,1,1,0,143287.58
776,Germany,Male,38,5,112281.7,1,0,1,89893.6
701,France,Male,40,5,169742.64,1,1,1,153537.55
514,France,Male,26,1,0.0,2,0,0,121551.93
709,Spain,Female,45,2,0.0,2,0,1,162922.65
566,Germany,Female,35,1,123042.0,1,1,0,66245.44
723,France,Male,28,4,0.0,2,1,1,123885.88
692,Germany,Female,43,2,69014.49,2,0,0,164621.43
584,Germany,Female,37,10,134171.8,4,1,1,70927.11
695,Spain,Female,31,5,0.0,2,0,1,13998.88
653,France,Female,74,0,121276.32,1,1,1,160348.31
613,Germany,Male,38,9,126265.88,2,0,0,15859.95
594,France,Male,37,2,0.0,2,0,1,95864.5
689,Spain,Female,45,0,57784.22,1,1,0,197804.0
671,Spain,Male,58,1,178713.98,1,1,1,21768.21
627,Germany,Male,30,3,128770.88,2,1,1,40199.01
528,Spain,Male,36,7,0.0,2,1,0,60536.56
706,France,Female,23,5,0.0,1,0,0,164128.41
564,France,Male,31,0,110527.17,1,1,1,87060.77
708,Spain,Female,35,8,122570.69,1,0,0,199005.88
845,Spain,Female,38,2,112803.92,1,1,0,179631.85
614,France,Female,41,3,123475.04,1,1,1,179227.52
627,Spain,Male,48,1,132759.8,1,1,0,78899.22
766,Germany,Male,47,9,129289.98,1,1,0,169935.46
683,Germany,Female,39,2,100062.16,2,1,0,109201.43
600,France,Male,32,1,0.0,1,1,1,101986.16
651,France,Female,25,8,0.0,2,1,1,126761.2
706,Germany,Female,28,6,124923.35,2,1,1,50299.14
715,Germany,Female,32,3,104857.19,2,1,0,114149.8
582,France,Female,39,1,132077.48,2,1,0,192255.15
452,Spain,Male,44,3,88915.85,1,1,0,69697.74
646,France,Female,73,6,97259.25,1,0,1,104719.66
590,Spain,Male,37,1,0.0,2,0,0,133535.99
550,France,Male,31,5,142200.19,2,1,1,122221.71
585,Germany,Female,40,3,162261.01,2,1,0,137028.51
517,Spain,Male,46,4,0.0,1,1,0,22372.78
580,France,Male,31,2,0.0,2,0,1,64014.24
619,Germany,Female,28,6,99152.73,2,1,0,48475.12
542,France,Male,32,7,107871.72,1,1,0,125302.64
647,Germany,Male,30,6,143138.91,2,1,0,2955.46
515,France,Male,33,2,0.0,2,1,1,136028.97
594,Spain,Female,38,7,96858.35,1,1,0,77511.45
812,Germany,Male,33,2,127154.14,2,0,1,105383.49
538,Germany,Female,42,4,80380.24,1,1,0,119216.46
538,Germany,Female,28,6,164365.44,1,0,1,5698.97
687,Germany,Female,29,4,78939.15,1,1,0,122134.56
687,Spain,Female,36,5,0.0,1,1,0,17696.22
706,France,Male,35,5,0.0,2,1,1,81718.37
671,Spain,Female,34,10,0.0,1,1,0,23235.38
720,France,Female,34,6,110717.38,1,1,1,9398.45
591,France,Male,45,5,0.0,2,1,1,155492.87
627,France,Male,37,2,125190.86,1,0,1,84584.69
651,Germany,Male,29,3,121890.06,1,1,0,54530.51
633,France,Female,34,3,123034.43,2,1,1,38315.04
624,France,Male,26,9,74681.9,2,0,0,31231.35
450,Spain,Female,46,5,177619.71,1,1,0,54227.06
614,Germany,Female,31,7,120599.38,2,1,1,46163.44
621,France,Male,34,6,0.0,2,1,1,99128.13
706,Spain,Male,24,2,141078.57,1,1,1,24402.87
629,Spain,Male,29,6,0.0,2,1,1,88842.8
705,France,Female,49,7,0.0,1,1,0,63405.2
533,Spain,Male,38,1,135289.33,2,0,1,152956.33
699,Spain,Male,26,6,79932.41,1,0,0,150242.44
616,Spain,Female,43,3,120867.18,1,1,0,18761.92
764,Spain,Male,38,4,113607.47,1,1,0,91094.46
757,France,Male,47,3,130747.1,1,1,0,143829.54
699,Spain,Male,40,2,0.0,1,1,0,78387.32
631,France,Female,34,4,124379.14,1,1,0,106892.91
670,France,Female,31,9,0.0,1,0,1,76254.83
683,Spain,Male,41,0,148863.17,1,1,1,163911.32
650,Spain,Male,61,1,152968.73,1,0,1,82970.69
569,Spain,Male,31,1,115406.97,1,0,0,145528.22
536,France,Female,22,5,89492.62,1,0,0,42934.43
580,Germany,Female,38,1,128218.47,1,1,0,125953.83
837,Germany,Male,35,0,144037.6,1,1,0,145325.32
498,Germany,Male,61,7,102453.26,1,1,0,187247.56
706,Germany,Male,67,1,123276.69,2,1,1,86507.88
620,Spain,Male,44,8,0.0,2,1,1,15627.51
766,Germany,Male,43,6,112088.04,2,1,1,36706.56
700,France,Female,32,8,110923.15,2,1,1,161845.81
638,France,Male,36,6,188455.19,1,0,0,47031.4
469,France,Male,33,1,127818.52,1,1,0,163477.22
674,France,Male,45,7,142072.02,1,1,0,37013.29
607,France,Female,33,8,91301.72,1,0,1,130824.57
582,Germany,Male,26,6,114450.32,1,1,1,14081.64
647,Spain,Male,33,7,121260.19,2,1,0,77216.48
646,Germany,Male,24,0,92398.08,1,1,1,18897.29
687,Spain,Female,39,2,0.0,3,0,0,188150.6
493,Germany,Female,35,8,178317.6,1,0,0,197428.64
497,Germany,Female,32,8,111537.23,4,1,1,9497.99
634,Germany,Female,31,8,76798.92,1,0,0,196021.73
656,France,Female,39,6,0.0,2,1,0,141069.88
709,France,Male,37,7,0.0,1,1,0,159486.76
600,Germany,Female,39,7,88477.36,2,1,0,58632.37
580,Germany,Female,36,3,74974.89,1,1,1,12099.67
430,Germany,Male,36,1,138992.48,2,0,0,122373.42
740,France,Male,33,1,129574.98,1,1,1,123300.38
701,France,Male,43,2,0.0,2,1,1,165303.79
652,Spain,Male,28,8,156823.7,2,1,0,198251.52
581,Germany,Female,43,5,93259.57,3,1,0,141035.65
686,France,Female,39,3,111695.62,1,0,0,136643.84
625,Spain,Female,31,8,0.0,2,1,0,151843.54
646,France,Female,34,3,131283.11,1,0,0,130500.65
643,Germany,Male,28,9,160858.13,2,1,0,27149.27
676,Germany,Female,34,4,89437.03,1,1,1,189540.95
752,Spain,Female,31,4,144637.86,2,1,0,40496.72
711,Germany,Male,34,4,133467.77,2,1,1,42976.64
564,Germany,Male,40,7,108407.34,1,1,1,83681.2
597,Germany,Male,52,8,83693.34,2,1,1,161083.53
565,Germany,Female,47,10,139756.12,1,1,0,165849.49
638,France,Male,34,6,114543.27,1,1,1,97755.29
850,Spain,Female,41,3,99945.93,2,1,0,71179.31
650,Germany,Female,28,5,122034.4,3,0,1,146663.43
650,Spain,Male,25,7,160599.06,2,1,1,28391.52
707,France,Female,35,9,0.0,2,1,1,70403.65
716,France,Female,29,10,87946.39,1,1,1,182531.74
658,Germany,Female,45,9,134562.8,1,1,1,159268.67
732,France,Female,40,10,0.0,2,1,0,154189.08
640,France,Male,45,1,0.0,1,1,1,10908.33
674,France,Male,18,7,0.0,2,1,1,55753.12
758,France,Female,52,7,125095.94,1,1,0,171189.83
776,Spain,Male,33,2,0.0,2,1,1,176921.0
459,France,Male,26,4,149879.66,1,0,0,50016.17
610,France,Female,31,6,107784.65,1,1,1,141137.53
525,Spain,Female,37,0,0.0,1,0,1,131521.72
705,Germany,Male,41,4,72252.64,2,1,1,142514.66
514,France,Male,32,8,0.0,2,1,0,95857.18
603,France,Male,30,8,0.0,2,1,1,47536.46
715,Germany,Male,42,2,88120.97,2,1,1,21333.22
537,France,Male,59,9,0.0,2,0,0,103799.77
532,Germany,Male,52,9,137755.76,1,1,0,163191.99
509,France,Male,18,7,102983.91,1,1,0,171770.58
614,Germany,Male,32,7,99462.8,2,1,1,51117.06
803,Spain,Female,45,7,0.0,2,1,1,128378.04
850,Spain,Male,39,0,141829.67,1,1,1,92748.16
655,Spain,Male,38,9,0.0,1,0,1,90490.33
754,France,Female,45,6,0.0,1,1,0,73881.68
620,France,Male,36,8,0.0,2,1,1,145937.99
527,Germany,Female,30,6,126663.51,1,1,1,162267.91
850,France,Male,68,5,169445.4,1,1,1,186335.07
654,France,Male,36,2,112262.84,1,1,0,12873.39
710,France,Male,38,2,0.0,2,1,0,96.27
797,Germany,Female,33,10,83555.58,1,0,0,69767.14
590,France,Female,54,4,0.0,2,1,1,93820.49
760,Spain,Female,41,6,0.0,2,0,0,101491.23
754,Spain,Female,27,8,0.0,2,0,0,121821.16
718,Germany,Male,32,9,169947.41,2,1,1,27979.16
568,France,Male,33,7,0.0,2,1,0,143450.61
819,France,Female,38,10,0.0,2,1,0,30498.7
682,Germany,Female,43,7,111094.05,2,1,1,64679.3
535,France,Male,47,0,160729.1,1,0,1,145986.35
452,Germany,Male,52,1,98443.14,2,0,0,92033.98
785,Spain,Male,41,7,0.0,2,1,1,199108.88
539,Spain,Male,36,6,0.0,3,1,1,118959.64
516,France,Female,29,2,104982.57,1,1,0,157378.5
579,France,Male,31,6,0.0,2,1,0,26149.25
729,Spain,Female,38,10,0.0,2,1,0,189727.12
710,Spain,Male,22,8,0.0,2,0,0,99645.04
673,Spain,Female,35,6,0.0,2,1,0,98618.79
699,Germany,Female,41,1,200117.76,2,1,0,94142.35
470,Germany,Male,39,5,117469.91,2,0,0,63705.9
531,France,Male,31,3,96288.26,1,1,0,56794.73
496,France,Female,36,7,0.0,2,0,0,108098.28
491,Germany,Male,70,6,148745.92,2,1,1,17818.33
667,Germany,Male,70,3,77356.92,2,1,1,20881.96
511,Germany,Female,40,9,124401.6,1,1,0,198814.24
726,France,Male,28,2,0.0,1,0,0,98060.51
745,Germany,Male,45,10,117231.63,3,1,1,122381.02
697,France,Male,40,4,0.0,2,0,1,26543.28
684,Germany,Male,29,8,127269.75,1,0,1,79495.01
594,France,Male,61,3,62391.22,1,1,1,192434.11
709,France,Female,45,3,104118.5,1,0,1,174032.0
695,France,Male,28,5,171069.39,2,1,1,88689.4
725,Germany,Male,45,8,116917.07,1,0,0,173464.43
682,France,Female,30,9,0.0,2,1,1,195104.91
681,France,Male,32,3,148884.47,2,1,1,90967.37
628,Germany,Female,36,3,91286.51,1,1,0,63085.94
643,Spain,Female,34,8,117451.47,1,1,0,65374.86
587,Germany,Female,37,6,104414.03,1,1,0,192026.02
679,Spain,Female,40,7,0.0,2,1,1,163757.29
705,Spain,Female,46,5,89364.91,1,0,1,139162.15
826,Spain,Female,29,4,129938.07,1,0,1,190200.53
605,Germany,Male,75,2,61319.63,1,0,1,186655.11
737,Germany,Male,43,8,96353.8,1,0,0,10209.8
687,Germany,Male,44,8,95368.14,2,1,1,1787.85
573,France,Female,26,4,129109.02,1,0,0,149814.68
671,Spain,Female,31,4,0.0,2,0,1,79270.02
547,France,Female,48,1,179380.74,2,0,1,69263.1
428,Germany,Female,40,3,129248.11,2,1,0,72876.43
823,France,Female,44,1,0.0,2,0,1,182495.7
597,Spain,Male,24,0,108058.07,2,1,1,187826.11
752,Germany,Female,38,10,101648.5,2,1,0,172001.44
612,France,Female,38,7,110615.47,1,1,1,193502.93
661,France,Female,31,3,136067.82,2,1,0,65567.91
569,Spain,Male,34,0,151839.26,1,1,0,102299.81
716,France,Female,38,1,0.0,2,1,1,99661.46
655,Spain,Female,35,1,106405.03,1,1,1,82900.25
745,Spain,Male,40,3,88466.82,1,0,0,116331.42
464,Germany,Male,33,8,164284.72,2,1,1,3710.34
667,France,Male,36,8,139753.35,1,1,0,79871.16
640,Germany,Male,45,8,120591.19,1,0,0,195123.94
681,Spain,Male,67,7,0.0,2,0,1,163714.92
640,Germany,Female,43,9,94752.49,1,1,0,184006.36
691,Spain,Male,40,1,0.0,2,1,1,145613.17
717,France,Male,28,4,128206.79,1,1,1,54272.12
445,France,Male,31,7,145056.59,1,1,1,175893.53
694,France,Female,22,4,0.0,2,1,1,11525.72
712,Spain,Female,29,7,77919.78,1,1,0,122547.58
505,Germany,Female,37,6,159863.9,2,0,1,125307.87
748,France,Male,44,4,112610.77,1,0,1,2048.55
559,Germany,Female,28,3,152264.81,1,0,0,64242.31
640,Germany,Male,26,5,90402.77,1,1,1,3298.65
626,Spain,Male,29,7,0.0,2,1,0,49361.84
678,France,Male,43,1,133237.21,1,1,0,111032.79
773,France,Male,64,2,145578.28,1,0,1,186172.85
603,Germany,Female,40,8,148897.02,1,0,0,105052.9
719,Spain,Female,32,7,0.0,1,0,0,76264.27
730,Germany,Male,45,6,152880.97,1,0,0,162478.11
542,Germany,Female,35,9,127543.11,2,1,0,468.94
659,France,Female,49,1,0.0,1,1,0,116249.72
659,Germany,Male,48,4,123593.22,2,1,0,82469.06
545,France,Male,47,8,105792.49,1,0,1,67830.2
594,Spain,Female,24,0,97378.54,1,1,1,71405.17
633,France,Male,37,7,141546.35,1,1,1,124830.11
636,France,Female,48,1,170833.46,1,1,0,110510.28
530,Germany,Male,33,9,75242.28,1,0,1,101694.67
453,Germany,Female,38,8,120623.21,1,1,0,129697.99
678,France,Male,36,0,107379.68,1,1,1,84460.18
772,Spain,Female,39,4,122486.11,2,1,1,140709.25
664,France,Male,36,1,0.0,2,1,1,95372.64
650,France,Male,37,5,106967.18,1,0,0,24495.03
582,France,Male,29,0,0.0,1,1,0,142516.35
796,Germany,Female,52,9,167194.36,1,1,1,62808.93
599,Spain,Male,34,2,101506.66,1,0,0,198030.24
564,Spain,Male,31,0,125175.58,1,1,1,72757.33
690,Spain,Male,49,8,116622.73,1,0,1,51011.29
730,Germany,Female,33,7,130367.87,1,1,0,15142.1
725,Germany,Male,39,1,50880.98,2,1,1,184023.54
690,Germany,Male,31,2,137260.45,2,1,0,55387.28
468,Germany,Male,29,1,111681.98,2,1,1,195711.16
519,France,Male,42,8,0.0,2,1,1,101485.72
850,France,Female,33,7,118004.26,1,1,0,183983.82
604,France,Female,71,2,0.0,2,1,1,49506.82
702,Germany,Male,28,1,103033.83,1,1,1,40321.87
743,Spain,Female,48,5,118207.69,2,0,0,186489.14
669,France,Male,37,4,0.0,1,1,0,132540.33
656,Germany,Female,23,4,163549.63,1,0,1,21085.12
688,France,Female,38,7,123544.21,1,1,1,157664.02
662,France,Female,37,6,0.0,2,1,0,51229.17
850,Germany,Female,31,3,51293.47,1,0,0,35534.68
744,France,Male,56,9,0.0,2,1,1,169498.61
705,Germany,Female,56,2,143249.67,1,1,0,88428.41
558,France,Male,40,6,0.0,2,1,0,173844.89
648,France,Female,19,1,0.0,2,0,1,22101.86
762,Germany,Male,28,3,125155.83,2,1,1,106024.02
533,France,Male,47,9,83347.25,1,1,1,137696.25
643,France,Male,37,6,0.0,2,0,0,142454.77
621,France,Male,31,7,136658.61,1,1,1,148689.13
767,Germany,Female,33,1,144753.21,1,1,1,132480.75
845,Germany,Female,41,2,81733.74,2,0,0,199761.29
527,Germany,Male,58,3,137318.42,1,1,1,126144.96
604,France,Male,40,1,84315.02,1,0,0,36209.1
681,France,Female,63,7,0.0,2,1,1,55054.48
696,France,Female,41,8,0.0,2,0,0,28276.83
751,France,Female,48,9,0.0,1,1,0,137508.42
594,France,Male,38,4,0.0,2,0,0,186884.04
662,France,Male,44,8,0.0,2,1,1,175314.87
667,Germany,Male,43,1,103018.45,1,1,0,32462.39
680,France,Male,44,7,108724.98,1,0,1,72330.46
636,Spain,Female,36,1,0.0,1,1,0,43134.58
556,Spain,Male,38,8,0.0,2,0,0,417.41
641,France,Male,65,6,38340.02,1,1,0,32607.77
532,Spain,Female,39,0,0.0,2,1,0,94977.3
721,France,Male,40,9,118129.87,1,1,1,160277.65
672,France,Female,28,6,0.0,1,0,1,8814.69
598,Germany,Male,32,9,123938.6,2,1,0,198894.42
525,Spain,Female,30,5,0.0,2,0,1,149195.44
676,France,Male,38,1,0.0,2,0,1,35644.79
774,France,Female,36,9,114997.42,1,1,0,75304.09
765,France,Male,43,9,157960.49,2,0,0,136602.8
407,Spain,Male,37,1,0.0,1,1,1,49161.12
685,Germany,Male,43,9,108589.47,2,0,1,194808.51
704,Germany,Male,41,9,62078.21,2,1,0,129050.67
684,Germany,Female,56,3,127585.98,3,1,1,80593.49
662,France,Female,29,10,0.0,2,1,0,137508.31
516,France,Male,35,10,57369.61,1,1,1,101699.77
602,France,Female,42,10,0.0,2,0,0,169921.11
600,France,Female,39,5,0.0,2,0,0,118272.07
553,Spain,Male,41,6,144974.55,1,1,1,19344.92
490,Spain,Female,48,8,155413.06,1,1,0,187921.3
654,France,Male,55,3,87485.67,1,1,1,3299.01
777,Germany,Male,35,7,122917.69,1,1,1,76169.68
778,France,Male,33,1,0.0,2,1,0,85439.73
535,France,Female,38,0,135919.33,1,1,0,80425.65
623,France,Female,35,5,0.0,2,1,0,101192.08
686,France,Male,60,9,0.0,3,1,1,75246.21
593,Spain,Male,27,10,0.0,3,0,0,94620.0
850,France,Male,31,6,67996.23,2,0,0,50129.87
573,Spain,Male,41,5,0.0,2,0,1,14479.29
699,France,Male,39,9,0.0,1,1,0,80963.92
850,France,Female,28,2,0.0,2,1,1,38773.74
776,Spain,Male,39,2,104349.45,1,0,0,79503.05
617,Germany,Female,58,3,119024.75,2,1,0,35199.24
676,France,Male,29,7,131959.86,1,0,0,189268.81
850,France,Male,40,9,0.0,2,0,1,119232.33
779,Germany,Male,33,1,158456.76,1,1,1,197000.92
665,Spain,Male,41,8,0.0,2,1,0,132152.32
738,Germany,Male,37,7,140950.92,2,1,0,195333.98
688,Germany,Female,40,8,150679.71,2,0,1,196226.38
573,Spain,Male,33,1,160777.9,1,1,1,149536.15
589,Germany,Female,41,7,92618.62,1,1,1,101178.85
601,Germany,Male,35,8,71553.83,1,1,0,177384.45
594,France,Male,23,5,156267.59,1,1,0,160968.44
699,Spain,Male,47,1,0.0,2,0,1,30117.44
504,France,Female,49,7,0.0,3,0,1,87822.14
660,Germany,Female,39,5,135134.99,1,1,0,173683.0
696,Spain,Male,40,3,153639.11,1,1,1,138351.68
682,Spain,Female,48,9,101198.01,1,1,1,49732.9
675,Spain,Male,36,3,54098.18,2,0,1,54478.52
542,Spain,Male,54,8,105770.14,1,0,1,140929.98
545,France,Male,38,1,88293.13,2,1,1,24302.95
758,France,Male,51,8,81710.46,1,1,1,116520.07
752,Spain,Female,35,2,0.0,1,1,0,44335.54
699,Spain,Female,25,8,0.0,2,1,1,52404.47
714,Germany,Male,42,2,177640.09,1,0,1,47166.55
639,France,Female,60,5,162039.78,1,1,1,84361.72
489,France,Male,34,5,0.0,1,0,0,43540.59
567,France,Female,47,2,0.0,1,0,0,110900.43
614,France,Female,19,5,97445.49,2,1,0,122823.34
663,Spain,Male,35,5,0.0,2,1,1,62634.94
601,Germany,Male,48,9,163630.76,1,0,1,41816.49
518,France,Female,28,9,85146.36,1,0,0,2803.89
646,France,Male,24,8,0.0,2,0,0,92612.88
758,France,Female,32,2,84378.9,1,1,1,75396.43
609,France,Male,25,10,0.0,1,0,1,109895.16
730,Germany,Female,37,5,124053.03,1,1,0,118591.67
792,Spain,Female,40,7,0.0,1,1,0,141652.2
553,Spain,Female,39,1,142876.98,2,1,0,44363.42
622,France,Female,30,2,158584.82,3,1,0,142342.55
741,Germany,Female,36,0,127675.39,2,1,0,74260.16
656,France,Male,36,8,97786.08,2,0,1,21478.36
760,France,Male,43,8,121911.59,1,1,0,193312.33
634,France,Female,45,2,0.0,1,1,1,143458.31
491,Germany,Female,57,4,112044.72,1,1,1,41229.73
673,Spain,Female,57,4,0.0,2,1,1,49684.09
681,France,Male,34,3,0.0,2,0,0,55816.2
536,France,Male,39,4,0.0,2,1,0,27150.35
635,Spain,Male,46,8,0.0,2,1,1,60739.16
588,France,Female,27,8,0.0,1,1,0,20066.38
518,France,Female,45,8,0.0,2,1,1,36193.07
489,Germany,Female,52,1,131441.51,1,1,0,37240.11
586,France,Male,29,3,0.0,2,1,1,142238.54
705,Germany,Female,48,1,156848.13,2,1,1,99475.95
841,France,Female,36,5,156021.31,1,0,0,122662.98
786,France,Male,32,9,0.0,2,1,0,133112.41
515,France,Female,66,6,0.0,2,1,1,160663.11
617,Spain,Male,61,7,91070.43,1,1,1,101839.77
685,France,Male,35,9,0.0,1,1,0,167033.83
572,France,Female,36,8,68348.18,2,0,1,50400.32
690,France,Male,29,5,0.0,2,1,0,108577.97
550,France,Male,38,9,140278.99,3,1,1,171457.06
672,France,Male,52,8,170008.84,1,0,0,56407.42
575,Spain,Male,52,8,123925.23,1,0,0,111342.66
828,Spain,Male,28,8,134766.85,1,1,0,79355.87
640,Spain,Male,47,6,89047.14,1,1,0,116286.25
624,Spain,Male,46,3,0.0,2,1,1,62825.03
660,Germany,Male,28,1,118402.25,2,1,0,14288.93
721,Spain,Male,38,7,0.0,1,0,1,53534.8
803,France,Male,33,6,0.0,2,1,0,115676.61
543,France,Female,71,1,104308.77,1,1,1,25650.04
712,Spain,Male,47,1,139887.01,1,1,1,95719.73
714,France,Male,34,5,141173.03,1,0,1,98896.06
696,France,Male,27,4,87637.26,2,0,0,196111.35
715,France,Male,28,7,160376.61,1,0,0,196853.11
528,Spain,Male,43,7,97473.87,2,1,1,159823.16
535,France,Female,49,3,0.0,1,0,0,61820.41
522,France,Male,41,5,144147.68,1,1,1,14789.9
528,Spain,Male,23,7,104744.89,1,1,0,170262.97
575,France,Male,29,4,121823.4,2,1,1,50368.87
629,Spain,Male,41,10,150148.51,1,0,0,6936.27
525,Spain,Female,25,10,0.0,2,1,0,69361.95
511,France,Male,27,8,0.0,2,1,1,49089.36
699,France,Male,44,8,158697.61,1,1,0,107181.22
583,Spain,Female,40,3,54428.37,1,1,0,109638.78
494,Spain,Male,67,5,0.0,2,1,1,85890.16
743,France,Female,30,1,127023.39,1,1,1,138780.89
593,France,Male,36,2,70181.48,2,1,0,80608.12
611,France,Male,28,2,0.0,2,0,0,25395.83
439,France,Male,28,7,110976.23,2,1,0,138526.96
625,France,Female,24,1,0.0,2,1,1,180969.55
586,France,Female,35,7,0.0,2,1,0,70760.69
578,Spain,Male,36,1,157267.95,2,1,0,141533.19
650,Germany,Male,34,4,142393.11,1,1,1,11276.48
573,Germany,Male,30,8,127406.5,1,1,0,192950.6
